,Date,BTC-CAD,ETH-CAD,BNB-CAD,XRP-CAD,ADA-CAD,SOL-CAD,DOGE-CAD,DOT-CAD,MATIC-CAD,SHIB-CAD,AVAX-CAD,UNI-CAD,ETC-CAD,LTC-CAD,ATOM-CAD,NEAR-CAD,LINK-CAD,CRO-CAD,XLM-CAD,FLOW-CAD,VET-CAD
25,2014-10-12,514.8266552734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.236448955535889,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2014-10-13,530.9630419921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.252020702362061,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,2014-10-14,545.1831933593751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.543237724304199,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,2014-10-15,536.8912939453126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.516730995178223,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,2014-10-16,520.2761596679688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.42761043548584,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,2014-10-17,521.9108740234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4308470916748055,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,2014-10-18,532.3611010742188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.515833473205567,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,2014-10-19,529.7825463867188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.424958400726319,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,2014-10-20,520.6692016601563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3173689270019535,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,2014-10-21,525.6060083007812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3584136962890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,2014-10-22,521.0948657226563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.22691505432129,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,2014-10-23,487.447109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.085924015045166,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,2014-10-24,487.34920166015627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.096640777587891,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,2014-10-25,472.28855468750004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9878681182861335,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,2014-10-26,482.3974536132813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.068964805603028,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,2014-10-27,480.06505859375005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.17794174194336,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,2014-10-28,486.36049560546877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.230655269622803,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,2014-10-29,456.4037646484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.068651905059815,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,2014-10-30,469.61479003906254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.148769683837891,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,2014-10-31,460.1165795898438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1054399299621585,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,2014-11-01,443.01863037109376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8560024261474615,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,2014-11-02,443.2131176757813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.875735912322998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,2014-11-03,445.4734204101563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.866161479949952,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,2014-11-04,449.4691259765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.884793491363526,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,2014-11-05,461.70094970703127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9569960212707525,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,2014-11-06,475.0344116210938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9634015655517585,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,2014-11-07,465.6844116210938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.838023128509522,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,2014-11-08,469.8636889648438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8365137481689455,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,2014-11-09,494.0390502929688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.93878553390503,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,2014-11-10,499.01665527343755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.026056900024415,0.0,0.0,0.0,0.0,0.0,0.0,0.0
