,name,symbol,total_supply,quote
UNI,Uniswap,UNI,1000000000,"{'CAD': {'price': 8.186745413290208, 'volume_24h': 218884127.0277782, 'volume_change_24h': 25.9195, 'percent_change_1h': 0.19216771, 'percent_change_24h': 0.48088109, 'percent_change_7d': -14.84451089, 'percent_change_30d': -24.45092615, 'percent_change_60d': 26.55342514, 'percent_change_90d': 18.73083223, 'market_cap': 6103935990.682737, 'market_cap_dominance': 0.4719, 'fully_diluted_market_cap': 8186745413.291563, 'tvl': 7442313408.09493, 'last_updated': '2022-08-31T20:30:10.000Z'}}"
ETC,Ethereum Classic,ETC,210700000,"{'CAD': {'price': 43.12528602808151, 'volume_24h': 1022252521.9001961, 'volume_change_24h': -14.9389, 'percent_change_1h': -0.05193601, 'percent_change_24h': -0.01251239, 'percent_change_7d': -11.1392853, 'percent_change_30d': -4.50859324, 'percent_change_60d': 122.46157589, 'percent_change_90d': 48.28011372, 'market_cap': 5892129074.73907, 'market_cap_dominance': 0.4555, 'fully_diluted_market_cap': 9086497766.116688, 'tvl': None, 'last_updated': '2022-08-31T20:30:10.000Z'}}"
LTC,Litecoin,LTC,84000000,"{'CAD': {'price': 71.72821589412345, 'volume_24h': 578471039.6172023, 'volume_change_24h': -5.8764, 'percent_change_1h': -0.94906877, 'percent_change_24h': 1.14532549, 'percent_change_7d': -6.19842502, 'percent_change_30d': -7.15518778, 'percent_change_60d': 7.88591499, 'percent_change_90d': -14.84030483, 'market_cap': 5097431564.664159, 'market_cap_dominance': 0.3941, 'fully_diluted_market_cap': 6025170135.110016, 'tvl': None, 'last_updated': '2022-08-31T20:30:10.000Z'}}"
ATOM,Cosmos,ATOM,0,"{'CAD': {'price': 15.851389820283439, 'volume_24h': 488087215.5290689, 'volume_change_24h': -8.7334, 'percent_change_1h': 0.89629474, 'percent_change_24h': 1.31305572, 'percent_change_7d': -9.52050257, 'percent_change_30d': 17.64680095, 'percent_change_60d': 48.02102473, 'percent_change_90d': 26.06171239, 'market_cap': 4539367210.697345, 'market_cap_dominance': 0.3509, 'fully_diluted_market_cap': 0, 'tvl': None, 'last_updated': '2022-08-31T20:30:10.000Z'}}"
NEAR,NEAR Protocol,NEAR,1000000000,"{'CAD': {'price': 5.7684354952598875, 'volume_24h': 579304512.4061165, 'volume_change_24h': 47.4034, 'percent_change_1h': -0.08594261, 'percent_change_24h': 4.51670083, 'percent_change_7d': -1.1317358, 'percent_change_30d': 4.23494822, 'percent_change_60d': 31.36549059, 'percent_change_90d': -20.58789655, 'market_cap': 4462086000.929243, 'market_cap_dominance': 0.3449, 'fully_diluted_market_cap': 5768435495.262712, 'tvl': None, 'last_updated': '2022-08-31T20:30:10.000Z'}}"
LINK,Chainlink,LINK,1000000000,"{'CAD': {'price': 8.775554166555505, 'volume_24h': 387129694.1988602, 'volume_change_24h': -0.5122, 'percent_change_1h': 0.18658737, 'percent_change_24h': 0.65592786, 'percent_change_7d': -9.69781925, 'percent_change_30d': -11.29644184, 'percent_change_60d': 7.93565393, 'percent_change_90d': -5.79749472, 'market_cap': 4314062168.985516, 'market_cap_dominance': 0.3335, 'fully_diluted_market_cap': 8775554166.556995, 'tvl': None, 'last_updated': '2022-08-31T20:30:10.000Z'}}"
CRO,Cronos,CRO,30263013692,"{'CAD': {'price': 0.16187296272835414, 'volume_24h': 21305436.35346716, 'volume_change_24h': -17.6853, 'percent_change_1h': -0.27120698, 'percent_change_24h': 0.39845446, 'percent_change_7d': -6.93254336, 'percent_change_30d': -10.5212873, 'percent_change_60d': 9.2666265, 'percent_change_90d': -32.44945833, 'market_cap': 4089398873.771016, 'market_cap_dominance': 0.3161, 'fully_diluted_market_cap': 4898763687.4137535, 'tvl': None, 'last_updated': '2022-08-31T20:30:10.000Z'}}"
XLM,Stellar,XLM,50001787613.143166,"{'CAD': {'price': 0.13724991233223746, 'volume_24h': 122208435.5312339, 'volume_change_24h': -24.4804, 'percent_change_1h': -0.21861535, 'percent_change_24h': 1.442545, 'percent_change_7d': -7.03010438, 'percent_change_30d': -11.66243538, 'percent_change_60d': -3.76430166, 'percent_change_90d': -26.1302172, 'market_cap': 3469876826.3809295, 'market_cap_dominance': 0.2682, 'fully_diluted_market_cap': 6862743601.404867, 'tvl': None, 'last_updated': '2022-08-31T20:30:10.000Z'}}"
FLOW,Flow,FLOW,1390757889,"{'CAD': {'price': 2.7582524613780026, 'volume_24h': 160159626.23084497, 'volume_change_24h': -19.5331, 'percent_change_1h': -2.38929628, 'percent_change_24h': 4.78983203, 'percent_change_7d': -6.20889577, 'percent_change_30d': 4.55428711, 'percent_change_60d': 36.92083645, 'percent_change_90d': -16.55403342, 'market_cap': 2858101200.4798865, 'market_cap_dominance': 0.2211, 'fully_diluted_market_cap': 3836061370.5107665, 'tvl': None, 'last_updated': '2022-08-31T20:30:10.000Z'}}"
VET,VeChain,VET,85985041177,"{'CAD': {'price': 0.03209055415071739, 'volume_24h': 90727242.5940682, 'volume_change_24h': 0.6587, 'percent_change_1h': -0.41167276, 'percent_change_24h': -0.63893949, 'percent_change_7d': -10.1802891, 'percent_change_30d': -10.57140037, 'percent_change_60d': 9.11677668, 'percent_change_90d': -21.72879444, 'market_cap': 2326922870.6574264, 'market_cap_dominance': 0.1799, 'fully_diluted_market_cap': 2782656491.8891025, 'tvl': None, 'last_updated': '2022-08-31T20:30:10.000Z'}}"
