CoinName,CoinID,myCoins
BTC,1,0.0050786
ETH,1027,0.02855
BNB,1839,0.0952
XRP,52,81.62
ADA,2010,49.9
SOL,5426,0.574
DOGE,74,198.3
DOT,6636,1.67
MATIC,3890,12.68
SHIB,5994,789000
AVAX,5805,0.452
UNI,7083,1.08
ETC,1321,0.274
LTC,2,0.12
ATOM,3794,0.564
NEAR,6535,1.45
LINK,1975,0.84
CRO,3635,54.02
XLM,512,48.5
FLOW,4558,2.43
VET,3077,164.4
