,name,symbol,total_supply,quote,price,MarketCap,Prop,total coin value,additional capital needed,percent capital invested
AVAX,Avalanche,AVAX,404229626.49901325,"{'CAD': {'price': 22.81522255166365, 'volume_24h': 519711488.8877544, 'volume_change_24h': -16.2516, 'percent_change_1h': -0.67904141, 'percent_change_24h': 1.12576443, 'percent_change_7d': -19.4089719, 'percent_change_30d': -23.13519773, 'percent_change_60d': -31.91855666, 'percent_change_90d': 2.36415178, 'market_cap': 6747617048.58126, 'market_cap_dominance': 0.5415, 'fully_diluted_market_cap': 16426960237.195637, 'tvl': None, 'last_updated': '2022-09-20T00:47:16.000Z'}}",22.81522255166365,6747617048.58126,0.007324823447481935,14.649646894963869,,
UNI,Uniswap,UNI,1000000000,"{'CAD': {'price': 7.276155871038257, 'volume_24h': 142425237.35691077, 'volume_change_24h': 14.7259, 'percent_change_1h': -0.18266278, 'percent_change_24h': -0.63667114, 'percent_change_7d': -17.660827, 'percent_change_30d': -21.79874858, 'percent_change_60d': -24.46602995, 'percent_change_90d': 16.29238992, 'market_cap': 5545953866.231378, 'market_cap_dominance': 0.445, 'fully_diluted_market_cap': 7276155871.044662, 'tvl': 6640917407.0973835, 'last_updated': '2022-09-20T00:47:16.000Z'}}",7.276155871038257,5545953866.231378,0.006020367283078997,12.040734566157994,,
ETC,Ethereum Classic,ETC,210700000,"{'CAD': {'price': 39.65944518272714, 'volume_24h': 1610219354.2553647, 'volume_change_24h': 42.4001, 'percent_change_1h': -2.04647782, 'percent_change_24h': -0.531569, 'percent_change_7d': -22.73246273, 'percent_change_30d': -9.05777358, 'percent_change_60d': 11.95867961, 'percent_change_90d': 86.79365776, 'market_cap': 5431574291.359203, 'market_cap_dominance': 0.4358, 'fully_diluted_market_cap': 8356245099.995389, 'tvl': None, 'last_updated': '2022-09-20T00:47:16.000Z'}}",39.65944518272714,5431574291.359203,0.005896203421095622,11.792406842191244,,
LTC,Litecoin,LTC,84000000,"{'CAD': {'price': 69.51038352279667, 'volume_24h': 908866477.8165555, 'volume_change_24h': 48.5533, 'percent_change_1h': -0.64332523, 'percent_change_24h': -2.33018006, 'percent_change_7d': -14.89947929, 'percent_change_30d': -3.39935045, 'percent_change_60d': -10.04470843, 'percent_change_90d': 0.44753635, 'market_cap': 4949601118.226376, 'market_cap_dominance': 0.3971, 'fully_diluted_market_cap': 5838872215.911726, 'tvl': None, 'last_updated': '2022-09-20T00:47:16.000Z'}}",69.51038352279667,4949601118.226376,0.005373001174405748,10.746002348811496,,
ATOM,Cosmos,ATOM,0,"{'CAD': {'price': 20.46244408421257, 'volume_24h': 1019696013.2024376, 'volume_change_24h': 51.147, 'percent_change_1h': -1.52522539, 'percent_change_24h': 1.31124916, 'percent_change_7d': -0.76685622, 'percent_change_30d': 50.12137661, 'percent_change_60d': 39.0286155, 'percent_change_90d': 124.1235793, 'market_cap': 5859836189.741847, 'market_cap_dominance': 0.4702, 'fully_diluted_market_cap': 0, 'tvl': None, 'last_updated': '2022-09-20T00:47:16.000Z'}}",20.46244408421257,5859836189.741847,0.006361099809309574,12.722199618619147,,
NEAR,NEAR Protocol,NEAR,1000000000,"{'CAD': {'price': 5.357467371386985, 'volume_24h': 402046242.7332226, 'volume_change_24h': 8.1851, 'percent_change_1h': -0.5717799, 'percent_change_24h': 1.84860665, 'percent_change_7d': -19.76678241, 'percent_change_30d': -2.91897306, 'percent_change_60d': -11.18416775, 'percent_change_90d': 15.55059569, 'market_cap': 4217397966.5204554, 'market_cap_dominance': 0.3383, 'fully_diluted_market_cap': 5357467371.3888645, 'tvl': None, 'last_updated': '2022-09-20T00:47:16.000Z'}}",5.357467371386985,4217397966.5204554,0.004578163711739819,9.156327423479638,,
LINK,Chainlink,LINK,1000000000,"{'CAD': {'price': 9.606875994183712, 'volume_24h': 799634309.181626, 'volume_change_24h': 20.9582, 'percent_change_1h': -1.01565571, 'percent_change_24h': -5.57313928, 'percent_change_7d': -6.3206031, 'percent_change_30d': 4.64955188, 'percent_change_60d': 2.12855796, 'percent_change_90d': 5.49701879, 'market_cap': 4722739954.884298, 'market_cap_dominance': 0.3789, 'fully_diluted_market_cap': 9606875994.183311, 'tvl': None, 'last_updated': '2022-09-20T00:47:16.000Z'}}",9.606875994183712,4722739954.884298,0.005126733794883897,10.253467589767794,,
CRO,Cronos,CRO,30263013692,"{'CAD': {'price': 0.13774194468219694, 'volume_24h': 35986505.46399539, 'volume_change_24h': 51.407, 'percent_change_1h': -0.48747147, 'percent_change_24h': -0.51044757, 'percent_change_7d': -15.06550766, 'percent_change_30d': -17.07398606, 'percent_change_60d': -23.06432946, 'percent_change_90d': -10.89010524, 'market_cap': 3479776634.4690485, 'market_cap_dominance': 0.2791, 'fully_diluted_market_cap': 4168486357.878016, 'tvl': None, 'last_updated': '2022-09-20T00:47:16.000Z'}}",0.13774194468219694,3479776634.4690485,0.003777444585347041,7.554889170694081,,
XLM,Stellar,XLM,50001787588.2682,"{'CAD': {'price': 0.14739288897039973, 'volume_24h': 239779653.17885807, 'volume_change_24h': -12.0708, 'percent_change_1h': -0.61972914, 'percent_change_24h': 2.21034841, 'percent_change_7d': -2.75407052, 'percent_change_30d': 1.54744992, 'percent_change_60d': -2.47228743, 'percent_change_90d': -2.55633632, 'market_cap': 3739053107.1525245, 'market_cap_dominance': 0.3, 'fully_diluted_market_cap': 7369910759.759047, 'tvl': None, 'last_updated': '2022-09-20T00:47:16.000Z'}}",0.14739288897039973,3739053107.1525245,0.004058900152967264,8.117800305934527,,
FLOW,Flow,FLOW,1392681892,"{'CAD': {'price': 2.2369786697543588, 'volume_24h': 79379467.45611422, 'volume_change_24h': 8.8219, 'percent_change_1h': -1.11302778, 'percent_change_24h': -0.14077531, 'percent_change_7d': -19.26731135, 'percent_change_30d': -21.0753635, 'percent_change_60d': -11.273336, 'percent_change_90d': 15.35711979, 'market_cap': 2317957297.599467, 'market_cap_dominance': 0.186, 'fully_diluted_market_cap': 3115399686.1600804, 'tvl': None, 'last_updated': '2022-09-20T00:47:16.000Z'}}",2.2369786697543588,2317957297.599467,0.002516240598936824,5.032481197873648,,
VET,VeChain,VET,85985041177,"{'CAD': {'price': 0.03017216197607312, 'volume_24h': 106045920.9302065, 'volume_change_24h': 2.8722, 'percent_change_1h': -0.64403056, 'percent_change_24h': -0.16315666, 'percent_change_7d': -11.13304008, 'percent_change_30d': -11.8667467, 'percent_change_60d': -11.17241093, 'percent_change_90d': -3.11253385, 'market_cap': 2187818054.79465, 'market_cap_dominance': 0.1756, 'fully_diluted_market_cap': 2616307652.479389, 'tvl': None, 'last_updated': '2022-09-20T00:47:16.000Z'}}",0.03017216197607312,2187818054.79465,0.0023749689514394766,4.749937902878953,,
