,name,symbol,total_supply,quote,price,MarketCap,Prop in Index,how much to buy
5805,Avalanche,AVAX,404229626.49901325,"{'CAD': {'price': 26.936451775125292, 'volume_24h': 446556699.63143474, 'volume_change_24h': -22.7672, 'percent_change_1h': 0.1596929, 'percent_change_24h': -0.62099842, 'percent_change_7d': 6.85406803, 'percent_change_30d': -28.1904941, 'percent_change_60d': 22.46493447, 'percent_change_90d': 28.6913756, 'market_cap': 7963998437.188405, 'market_cap_dominance': 0.575, 'fully_diluted_market_cap': 19394245278.09277, 'tvl': None, 'last_updated': '2022-09-11T01:54:26.000Z'}}",26.936451775125292,7963998437.188405,0.007608962452814186,15.217924905628372
7083,Uniswap,UNI,1000000000,"{'CAD': {'price': 8.636793676379737, 'volume_24h': 160776694.82174873, 'volume_change_24h': -23.7215, 'percent_change_1h': -0.96099686, 'percent_change_24h': 0.61178993, 'percent_change_7d': 2.26656533, 'percent_change_30d': -27.23096627, 'percent_change_60d': 17.02491269, 'percent_change_90d': 69.46089315, 'market_cap': 6442147174.439949, 'market_cap_dominance': 0.4651, 'fully_diluted_market_cap': 8636793676.373951, 'tvl': 7372457347.357639, 'last_updated': '2022-09-11T01:54:26.000Z'}}",8.636793676379737,6442147174.439949,0.006154955497846859,12.309910995693718
1321,Ethereum Classic,ETC,210700000,"{'CAD': {'price': 51.02685908214018, 'volume_24h': 1272581565.3204784, 'volume_change_24h': -39.9004, 'percent_change_1h': 0.00362986, 'percent_change_24h': -0.95324431, 'percent_change_7d': 19.75146995, 'percent_change_30d': -5.58278059, 'percent_change_60d': 180.69256987, 'percent_change_90d': 148.60252799, 'market_cap': 6980622991.404574, 'market_cap_dominance': 0.504, 'fully_diluted_market_cap': 10751359208.608797, 'tvl': None, 'last_updated': '2022-09-11T01:54:26.000Z'}}",51.02685908214018,6980622991.404574,0.006669425999736958,13.338851999473915
2,Litecoin,LTC,84000000,"{'CAD': {'price': 83.1512329835144, 'volume_24h': 792009514.282744, 'volume_change_24h': -1.766, 'percent_change_1h': -0.08442538, 'percent_change_24h': 3.49536862, 'percent_change_7d': 4.68869176, 'percent_change_30d': 3.26150651, 'percent_change_60d': 33.65303166, 'percent_change_90d': 39.78248677, 'market_cap': 5915582956.807761, 'market_cap_dominance': 0.4271, 'fully_diluted_market_cap': 6984703570.618283, 'tvl': None, 'last_updated': '2022-09-11T01:54:26.000Z'}}",83.1512329835144,5915582956.807761,0.005651865574793926,11.303731149587852
3794,Cosmos,ATOM,0,"{'CAD': {'price': 20.643677017757856, 'volume_24h': 760876743.2563705, 'volume_change_24h': -52.5751, 'percent_change_1h': -0.54320072, 'percent_change_24h': -1.9835515, 'percent_change_7d': 24.15384582, 'percent_change_30d': 35.13354744, 'percent_change_60d': 103.47082358, 'percent_change_90d': 133.60891514, 'market_cap': 5911735918.747391, 'market_cap_dominance': 0.4268, 'fully_diluted_market_cap': 0, 'tvl': None, 'last_updated': '2022-09-11T01:54:26.000Z'}}",20.643677017757856,5911735918.747391,0.00564819003814148,11.296380076282961
6535,NEAR Protocol,NEAR,1000000000,"{'CAD': {'price': 6.251985035468333, 'volume_24h': 379975822.74166596, 'volume_change_24h': -20.4057, 'percent_change_1h': -0.1418589, 'percent_change_24h': -1.07880972, 'percent_change_7d': 12.95326374, 'percent_change_30d': -16.20304824, 'percent_change_60d': 49.12369437, 'percent_change_90d': 38.01740265, 'market_cap': 4878113162.007767, 'market_cap_dominance': 0.3522, 'fully_diluted_market_cap': 6251985035.467244, 'tvl': None, 'last_updated': '2022-09-11T01:54:26.000Z'}}",6.251985035468333,4878113162.007767,0.0046606463051240415,9.321292610248083
1975,Chainlink,LINK,1000000000,"{'CAD': {'price': 10.350549128967177, 'volume_24h': 642832761.1930574, 'volume_change_24h': -13.8264, 'percent_change_1h': 0.03906562, 'percent_change_24h': 1.4820285, 'percent_change_7d': 13.29932937, 'percent_change_30d': -11.39423229, 'percent_change_60d': 32.39462676, 'percent_change_90d': 33.28326397, 'market_cap': 5088329645.970381, 'market_cap_dominance': 0.3673, 'fully_diluted_market_cap': 10350549128.970558, 'tvl': None, 'last_updated': '2022-09-11T01:54:26.000Z'}}",10.350549128967177,5088329645.970381,0.0048614913135767105,9.72298262715342
3635,Cronos,CRO,30263013692,"{'CAD': {'price': 0.16191288944872326, 'volume_24h': 23154999.22274276, 'volume_change_24h': -19.72, 'percent_change_1h': 0.1615577, 'percent_change_24h': 2.13982672, 'percent_change_7d': 4.30824653, 'percent_change_30d': -17.58311019, 'percent_change_60d': 12.04623906, 'percent_change_90d': -8.02210599, 'market_cap': 4090407543.054378, 'market_cap_dominance': 0.2953, 'fully_diluted_market_cap': 4899971990.296818, 'tvl': None, 'last_updated': '2022-09-11T01:54:26.000Z'}}",0.16191288944872326,4090407543.054378,0.003908056695048343,7.816113390096685
512,Stellar,XLM,50001787595.143166,"{'CAD': {'price': 0.15123574719340946, 'volume_24h': 152862003.12772828, 'volume_change_24h': -29.3292, 'percent_change_1h': 0.49092604, 'percent_change_24h': 0.88960825, 'percent_change_7d': 7.68537244, 'percent_change_30d': -7.22818303, 'percent_change_60d': 13.71041747, 'percent_change_90d': 2.34702282, 'market_cap': 3830551305.2858887, 'market_cap_dominance': 0.2766, 'fully_diluted_market_cap': 7562060614.23486, 'tvl': None, 'last_updated': '2022-09-11T01:54:26.000Z'}}",0.15123574719340946,3830551305.2858887,0.003659784878836381,7.319569757672762
4558,Flow,FLOW,1390757889,"{'CAD': {'price': 2.7583838659636113, 'volume_24h': 119516293.98375419, 'volume_change_24h': -42.862, 'percent_change_1h': -0.06010031, 'percent_change_24h': 0.00366313, 'percent_change_7d': 6.53297283, 'percent_change_30d': -28.27922568, 'percent_change_60d': 45.45439639, 'percent_change_90d': 26.5014227, 'market_cap': 2858237361.9114943, 'market_cap_dominance': 0.2063, 'fully_diluted_market_cap': 3836244122.479044, 'tvl': None, 'last_updated': '2022-09-11T01:54:26.000Z'}}",2.7583838659636113,2858237361.9114943,0.002730816805093847,5.461633610187694
3077,VeChain,VET,85985041177,"{'CAD': {'price': 0.03383547732439987, 'volume_24h': 90708410.23098366, 'volume_change_24h': -23.0494, 'percent_change_1h': 0.27164647, 'percent_change_24h': -0.27329745, 'percent_change_7d': 5.30650795, 'percent_change_30d': -20.81153552, 'percent_change_60d': 19.39450828, 'percent_change_90d': 4.9962582, 'market_cap': 2453449250.392478, 'market_cap_dominance': 0.1771, 'fully_diluted_market_cap': 2933963377.2101307, 'tvl': None, 'last_updated': '2022-09-11T01:54:26.000Z'}}",0.03383547732439987,2453449250.392478,0.0023440741950612512,4.688148390122502
